     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     427   2.024500E+01   2.226000E+00
     428   2.390900E+01   2.221000E+00
     429   2.098300E+01   2.216000E+00
     430   2.268100E+01   2.210000E+00
     431   1.584700E+01   2.205000E+00
     432   1.931900E+01   2.199000E+00
     433   1.989700E+01   2.193000E+00
     434   1.672200E+01   2.187000E+00
     435   1.984100E+01   2.181000E+00
     436   1.823700E+01   2.175000E+00
     437   2.121400E+01   2.168000E+00
     438   1.842500E+01   2.162000E+00
     439   2.293900E+01   2.155000E+00
     440   1.822200E+01   2.149000E+00
     441   1.823400E+01   2.142000E+00
     442   1.569700E+01   2.135000E+00
     443   1.822500E+01   2.129000E+00
     444   1.683600E+01   2.122000E+00
     445   1.604100E+01   2.115000E+00
     446   1.844900E+01   2.108000E+00
     447   1.739600E+01   2.101000E+00
     448   1.800900E+01   2.094000E+00
     449   1.692700E+01   2.086000E+00
     450   2.081800E+01   2.079000E+00
     451   1.730200E+01   2.072000E+00
     452   1.557500E+01   2.065000E+00
     453   1.675200E+01   2.058000E+00
     454   1.942100E+01   2.051000E+00
     455   1.464700E+01   2.044000E+00
     456   1.546100E+01   2.036000E+00
     457   1.343800E+01   2.029000E+00
     458   1.320000E+01   2.022000E+00
     459   1.564200E+01   2.015000E+00
     460   1.846100E+01   2.008000E+00
     461   1.347600E+01   2.001000E+00
     462   1.488700E+01   1.994000E+00
     463   1.358000E+01   1.987000E+00
     464   1.447100E+01   1.981000E+00
     465   1.256000E+01   1.974000E+00
     466   1.274200E+01   1.967000E+00
     467   1.581900E+01   1.961000E+00
     468   1.751800E+01   1.954000E+00
     469   1.973500E+01   1.948000E+00
     470   1.343200E+01   1.942000E+00
     471   1.098800E+01   1.936000E+00
     472   8.436000E+00   1.930000E+00
     473   1.013700E+01   1.924000E+00
     474   1.310400E+01   1.918000E+00
     475   9.121000E+00   1.912000E+00
     476   1.169300E+01   1.907000E+00
     477   1.028700E+01   1.901000E+00
     478   1.095100E+01   1.896000E+00
     479   1.221000E+01   1.891000E+00
     480   1.024000E+01   1.886000E+00
     481   1.216900E+01   1.881000E+00
     482   1.036700E+01   1.877000E+00
     483   8.993000E+00   1.872000E+00
     484   1.219000E+01   1.868000E+00
     485   1.237900E+01   1.864000E+00
     486   1.447000E+01   1.860000E+00
     487   1.127600E+01   1.856000E+00
     488   1.274200E+01   1.853000E+00
     489   9.478000E+00   1.850000E+00
     490   1.122500E+01   1.847000E+00
     491   1.046100E+01   1.844000E+00
     492   1.212600E+01   1.841000E+00
     493   8.933000E+00   1.838000E+00
     494   1.042900E+01   1.836000E+00
     495   8.757000E+00   1.834000E+00
     496   9.261000E+00   1.832000E+00
     497   1.213800E+01   1.831000E+00
     498   8.262000E+00   1.829000E+00
     499   8.656000E+00   1.828000E+00
     500   6.269000E+00   1.827000E+00
     501   6.607000E+00   1.827000E+00
     502   9.200000E+00   1.826000E+00
     503   8.819000E+00   1.824000E+00
     504   6.077000E+00   1.824000E+00
     505   7.823000E+00   1.550000E+00
     506   1.053400E+01   1.548000E+00
     507   9.149000E+00   1.545000E+00
     508   8.000000E+00   1.544000E+00
     509   9.604000E+00   1.543000E+00
     510   8.143000E+00   1.543000E+00
     511   8.906000E+00   1.543000E+00
     512   5.513000E+00   1.544000E+00
     513   6.146000E+00   1.544000E+00
     514   7.563000E+00   1.545000E+00
     515   9.543000E+00   1.546000E+00
     516   4.250000E+00   1.548000E+00
     517   5.236000E+00   1.549000E+00
     518   8.794000E+00   1.551000E+00
     519   7.113000E+00   1.554000E+00
     520   7.297000E+00   1.556000E+00
