     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     605   2.645600E+01   1.290400E+01
     606   3.387600E+01   1.292800E+01
     607   4.382300E+01   1.295200E+01
     608   3.280900E+01   1.297500E+01
     609   1.667000E+01   1.299700E+01
     610   2.740500E+01   1.301900E+01
     611   5.797500E+01   1.304100E+01
     612   1.549200E+01   1.306200E+01
     613   3.284500E+01   1.308200E+01
     614   9.760000E-01   1.310200E+01
     615   1.172700E+01   1.312200E+01
     616   5.462100E+01   1.314100E+01
     617   3.509200E+01   1.316000E+01
     618   4.803200E+01   1.317800E+01
     619   2.045700E+01   1.319600E+01
     620   1.644700E+01   1.321300E+01
     621   1.756600E+01   1.323000E+01
     622   2.924200E+01   1.324700E+01
     623  -1.106300E+01   1.326300E+01
     624   2.224100E+01   1.327900E+01
     625   1.973900E+01   1.329500E+01
     626   6.761000E+00   1.331000E+01
     627   5.682000E+00   1.332500E+01
     628   1.726300E+01   1.334000E+01
     629   7.637000E+00   1.335500E+01
     630   4.114000E+00   1.336900E+01
     631   9.323000E+00   1.338300E+01
     632   2.944300E+01   1.339700E+01
     633   2.071000E+00   1.341100E+01
     634   4.340000E+00   1.342400E+01
     635   1.170300E+01   1.343800E+01
     636   2.087000E+00   1.345100E+01
     637   1.299800E+01   1.346400E+01
     638  -7.754000E+00   1.347700E+01
     639   3.801000E+00   1.349000E+01
     640  -3.990000E-01   1.350300E+01
     641   1.086500E+01   1.351600E+01
     642  -1.710900E+01   1.352900E+01
     643  -2.556000E+00   1.354200E+01
     644   1.209700E+01   1.355500E+01
     645   2.619000E+00   1.356800E+01
     646   3.976000E+00   1.358100E+01
     647  -1.959600E+01   1.359500E+01
     648  -1.323700E+01   1.360800E+01
     649  -6.125000E+00   1.362100E+01
     650   1.410000E+00   1.363500E+01
     651  -2.833300E+01   1.364900E+01
     652  -4.239000E+00   1.366300E+01
     653  -2.514700E+01   1.367700E+01
     654  -1.070100E+01   1.369100E+01
     655  -4.176900E+01   1.370500E+01
     656  -3.490200E+01   1.372000E+01
     657   2.206000E+00   1.373500E+01
     658  -1.637800E+01   1.375000E+01
     659  -2.257000E+01   1.376500E+01
     660   3.469000E+00   1.378100E+01
     661  -4.236000E+01   1.379700E+01
     662  -4.803200E+01   1.381300E+01
     663  -2.070800E+01   1.382900E+01
     664  -4.420200E+01   1.384600E+01
     665  -1.556300E+01   1.386300E+01
     666  -5.741300E+01   1.388000E+01
     667  -5.728800E+01   1.389700E+01
     668  -3.852000E+01   1.391500E+01
     669  -3.440700E+01   1.393300E+01
     670  -5.252000E+01   1.395200E+01
     671  -5.219500E+01   1.397100E+01
     672  -8.247900E+01   1.399000E+01
     673  -6.706000E+01   1.400900E+01
     674  -5.325300E+01   1.402800E+01
     675  -7.694800E+01   1.404800E+01
     676  -7.476100E+01   1.406900E+01
     677  -7.989000E+01   1.408900E+01
     678  -5.098600E+01   1.411000E+01
     679  -6.416300E+01   1.413100E+01
     680  -8.040400E+01   1.415200E+01
     681  -3.859200E+01   1.417400E+01
     682  -7.472200E+01   1.419500E+01
     683  -8.167200E+01   1.421700E+01
     684  -5.414500E+01   1.424000E+01
     685  -7.450100E+01   1.426200E+01
     686  -1.028030E+02   1.428400E+01
     687  -1.018230E+02   1.430700E+01
     688  -6.533000E+01   1.433000E+01
     689  -7.634700E+01   1.435300E+01
     690  -9.225800E+01   1.437600E+01
     691  -4.536200E+01   1.440000E+01
     692  -8.016100E+01   1.442300E+01
     693  -8.366100E+01   1.444600E+01
     694  -8.816400E+01   1.447000E+01
     695  -9.763700E+01   1.449300E+01
     696  -9.672100E+01   1.451700E+01
     697  -1.224460E+02   1.454000E+01
     698  -8.884500E+01   1.456400E+01
     699  -7.631500E+01   1.458800E+01
     700  -7.298800E+01   1.461100E+01
     701  -8.801900E+01   1.463400E+01
     702  -1.121160E+02   1.465800E+01
     703  -1.039190E+02   1.468100E+01
     704  -9.494300E+01   1.470400E+01
     705  -1.009600E+02   1.472700E+01
     706  -8.506800E+01   1.475000E+01
     707  -9.481400E+01   1.477300E+01
     708  -9.929700E+01   1.479500E+01
     709  -9.093100E+01   1.481700E+01
     710  -1.140280E+02   1.483900E+01
     711  -1.092660E+02   1.486100E+01
     712  -9.860400E+01   1.488300E+01
     713  -1.046190E+02   1.490400E+01
     714  -1.284600E+02   1.492500E+01
     715  -9.517900E+01   1.494500E+01
     716  -1.189170E+02   1.496500E+01
     717  -1.077630E+02   1.498500E+01
     718  -1.129570E+02   1.500500E+01
     719  -1.477320E+02   1.502400E+01
     720  -1.089850E+02   1.504200E+01
     721  -1.051420E+02   1.506100E+01
     722  -1.189850E+02   1.507800E+01
     723  -1.471740E+02   1.509600E+01
     724  -1.377710E+02   1.511300E+01
     725  -1.178100E+02   1.512900E+01
     726  -1.192250E+02   1.514500E+01
     727  -1.409030E+02   1.516000E+01
     728  -8.669300E+01   1.517500E+01
     729  -1.393190E+02   1.518900E+01
     730  -1.118380E+02   1.520200E+01
     731  -1.106910E+02   1.521500E+01
     732  -1.311970E+02   1.522800E+01
     733  -1.420050E+02   1.524000E+01
     734  -1.280600E+02   1.525100E+01
